Customer_Name,Customer_ID,Order_ID,Order_Date,Product_ID,Product,Category,Subsidiary_Name,Country,States,Price($),Year,Sales_Amount($),Quantity
Bwanaz,BN-1253,ORD-2808,3/7/2017,PROD- 101,ace-mango,White,Ace Cider,USA,California,12.00,2017,7,200.00,600
Costco,CC-1252,ORD-2809,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,9,000.00,600
Kroger,KG-1251,ORD-2810,15/11/2017,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2017,13,600.00,800
Walmart,WM-1250,ORD-2811,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,,18,000.00,1200
Walmart,WM-1250,ORD-2812,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,,18,000.00,1200
Walmart,WM-1250,ORD-2813,7/9/2016,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Oregon,19.00,2016,20,900.00,1100
Kroger,KG-1251,ORD-2814,,PROD-110,2019-brcohn-pinot-noir-silver-label-north-coast-750ml,White,B.R. Cohn,USA,Texas,21.00,,16,800.00,800
Costco,CC-1252,ORD-2815,22/7/2014,PROD-109,2019-brc-sonoma-series-cabernet-sauvignon,Red,B.R. Cohn,USA,Washington,31.00,2014,18,600.00,600
Bwanaz,BN-1253,ORD-2816,3/10/2019,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2019,10,200.00,600
Walmart,WM-1250,ORD-2817,7/1/2019,PROD-103,ace-berry,Red,Ace Cider,USA,Oregon,9.00,2019,7,200.00,800
Kroger,KG-1251,ORD-2818,,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Oregon,19.00,,17,100.00,900
Costco,CC-1252,ORD-2819,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2820,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,7,500.00,500
Walmart,WM-1250,ORD-2821,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,18,000.00,1200
Kroger,KG-1251,ORD-2822,,PROD-110,2019-brcohn-pinot-noir-silver-label-north-coast-750ml,White,B.R. Cohn,USA,California,21.00,,16,800.00,800
Costco,CC-1252,ORD-2823,22/6/2018,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2018,11,900.00,700
Bwanaz,BN-1253,ORD-2824,3/11/2019,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2019,10,200.00,600
Walmart,WM-1250,ORD-2825,7/1/2016,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,Washington,14.00,2016,14,000.00,1000
Kroger,KG-1251,ORD-2826,15/12/2017,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2017,13,600.00,800
Costco,CC-1252,ORD-2827,22/6/2015,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,Texas,14.00,2015,8,400.00,600
Bwanaz,BN-1253,ORD-2828,3/4/2017,PROD-112,2019 Fusion Red Blend California,Red,Windsor Vineyards,USA,California,12.00,2017,6,000.00,500
Costco,CC-1252,ORD-2829,22/4/2016,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,California,62.00,2016,43,400.00,700
Kroger,KG-1251,ORD-2830,15/2/2019,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,California,52.00,2019,46,800.00,900
Walmart,WM-1250,ORD-2831,7/3/2015,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,California,40.00,2015,44,000.00,1100
Walmart,WM-1250,ORD-2832,7/2/2019,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2019,7,200.00,800
Walmart,WM-1250,ORD-2833,7/10/2019,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2019,18,700.00,1100
Kroger,KG-1251,ORD-2834,,PROD-108,2019-cabernet-sauvignon-olive-hill-estate,Sparkling,B.R. Cohn,USA,Texas,65.00,,52,000.00,800
Costco,CC-1252,ORD-2835,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2836,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,7,500.00,500
Walmart,WM-1250,ORD-2837,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,,18,000.00,1200
Kroger,KG-1251,ORD-2838,,PROD-109,2019-brc-sonoma-series-cabernet-sauvignon,Red,B.R. Cohn,USA,Texas,31.00,,24,800.00,800
Costco,CC-1252,ORD-2839,22/2/2017,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2017,6,300.00,700
Bwanaz,BN-1253,ORD-2840,3/12/2019,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2019,10,200.00,600
Walmart,WM-1250,ORD-2841,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,18,000.00,1200
Kroger,KG-1251,ORD-2842,15/1/2018,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2018,13,600.00,800
Costco,CC-1252,ORD-2843,22/10/2018,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Washington,12.00,2018,7,200.00,600
Bwanaz,BN-1253,ORD-2844,3/8/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,California,12.00,2014,7,200.00,600
Walmart,WM-1250,ORD-2845,7/10/2016,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Washington,19.00,2016,20,900.00,1100
Kroger,KG-1251,ORD-2846,,PROD-110,2019-brcohn-pinot-noir-silver-label-north-coast-750ml,White,B.R. Cohn,USA,California,21.00,,16,800.00,800
Costco,CC-1252,ORD-2847,22/5/2016,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Washington,62.00,2016,43,400.00,700
Bwanaz,BN-1253,ORD-2848,3/1/2020,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2020,10,200.00,600
Costco,CC-1252,ORD-2849,22/7/2018,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2018,11,900.00,700
Kroger,KG-1251,ORD-2850,15/3/2019,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,California,52.00,2019,46,800.00,900
Walmart,WM-1250,ORD-2851,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,,18,000.00,1200
Walmart,WM-1250,ORD-2852,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,,18,000.00,1200
Walmart,WM-1250,ORD-2853,7/11/2017,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,California,12.00,2017,10,800.00,900
Kroger,KG-1251,ORD-2854,,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,California,40.00,,36,000.00,900
Costco,CC-1252,ORD-2855,22/8/2018,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2018,11,900.00,700
Bwanaz,BN-1253,ORD-2856,3/2/2020,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2020,10,200.00,600
Walmart,WM-1250,ORD-2857,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,18,000.00,1200
Kroger,KG-1251,ORD-2858,15/1/2018,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2018,6,300.00,700
Costco,CC-1252,ORD-2859,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2860,3/9/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Texas,12.00,2014,7,200.00,600
Walmart,WM-1250,ORD-2861,7/11/2016,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,California,19.00,2016,20,900.00,1100
Kroger,KG-1251,ORD-2862,15/4/2019,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,Texas,52.00,2019,46,800.00,900
Costco,CC-1252,ORD-2863,22/2/2015,PROD-108,2019-cabernet-sauvignon-olive-hill-estate,Sparkling,B.R. Cohn,USA,California,65.00,2015,39,000.00,600
Bwanaz,BN-1253,ORD-2864,3/3/2020,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2020,10,200.00,600
Walmart,WM-1250,ORD-2865,7/11/2019,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2019,18,700.00,1100
Kroger,KG-1251,ORD-2866,,PROD-109,2019-brc-sonoma-series-cabernet-sauvignon,Red,B.R. Cohn,USA,Oregon,31.00,,24,800.00,800
Costco,CC-1252,ORD-2867,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2868,3/5/2017,PROD-112,2019 Fusion Red Blend California,Red,Windsor Vineyards,USA,California,12.00,2017,6,000.00,500
Costco,CC-1252,ORD-2869,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,9,000.00,600
Kroger,KG-1251,ORD-2870,,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Oregon,19.00,,17,100.00,900
Walmart,WM-1250,ORD-2871,7/3/2019,PROD-103,ace-berry,Red,Ace Cider,USA,Washington,9.00,2019,7,200.00,800
Walmart,WM-1250,ORD-2872,7/12/2019,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2019,18,700.00,1100
Walmart,WM-1250,ORD-2873,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,,18,000.00,1200
Kroger,KG-1251,ORD-2874,15/2/2018,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2018,13,600.00,800
Costco,CC-1252,ORD-2875,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2876,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,7,500.00,500
Walmart,WM-1250,ORD-2877,7/9/2014,PROD-110,2019-brcohn-pinot-noir-silver-label-north-coast-750ml,White,B.R. Cohn,USA,California,21.00,2014,16,800.00,800
Kroger,KG-1251,ORD-2878,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,California,62.00,,55,800.00,900
Costco,CC-1252,ORD-2879,22/4/2016,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Texas,19.00,2016,11,400.00,600
Bwanaz,BN-1253,ORD-2880,3/4/2020,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2020,10,200.00,600
Walmart,WM-1250,ORD-2881,7/4/2019,PROD-103,ace-berry,Red,Ace Cider,USA,Washington,9.00,2019,6,300.00,700
Kroger,KG-1251,ORD-2882,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Texas,62.00,,55,800.00,900
Costco,CC-1252,ORD-2883,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2884,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,7,500.00,500
Walmart,WM-1250,ORD-2885,7/12/2017,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,California,12.00,2017,10,800.00,900
Kroger,KG-1251,ORD-2886,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Oregon,62.00,,55,800.00,900
Costco,CC-1252,ORD-2887,22/9/2018,PROD-102,Moscato,Red,Ace Cider,USA,Washington,17.00,2018,11,900.00,700
Bwanaz,BN-1253,ORD-2888,3/10/2019,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2019,5,400.00,600
Costco,CC-1252,ORD-2889,22/4/2014,PROD-112,2019 Fusion Red Blend California,Red,Windsor Vineyards,USA,California,12.00,2014,6,000.00,500
Kroger,KG-1251,ORD-2890,15/7/2015,PROD- 101,ace-mango,White,Ace Cider,USA,California,12.00,2015,10,800.00,900
Walmart,WM-1250,ORD-2891,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,18,000.00,1200
Walmart,WM-1250,ORD-2892,7/7/2016,PROD-112,2019 Fusion Red Blend California,Red,Windsor Vineyards,USA,Oregon,12.00,2016,14,400.00,1200
Walmart,WM-1250,ORD-2893,7/3/2016,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Oregon,62.00,2016,62,000.00,1000
Kroger,KG-1251,ORD-2894,15/5/2019,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,California,52.00,2019,46,800.00,900
Costco,CC-1252,ORD-2895,22/3/2015,PROD-108,2019-cabernet-sauvignon-olive-hill-estate,Sparkling,B.R. Cohn,USA,Texas,65.00,2015,39,000.00,600
Bwanaz,BN-1253,ORD-2896,3/11/2019,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2019,5,400.00,600
Walmart,WM-1250,ORD-2897,7/5/2019,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2019,6,300.00,700
Kroger,KG-1251,ORD-2898,,PROD-109,2019-brc-sonoma-series-cabernet-sauvignon,Red,B.R. Cohn,USA,California,31.00,,24,800.00,800
Costco,CC-1252,ORD-2899,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2900,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,7,500.00,500
Walmart,WM-1250,ORD-2901,7/2/2016,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,Washington,14.00,2016,14,000.00,1000
Kroger,KG-1251,ORD-2902,,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Texas,19.00,,17,100.00,900
Costco,CC-1252,ORD-2903,22/10/2018,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2018,11,900.00,700
Bwanaz,BN-1253,ORD-2904,3/5/2020,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2020,10,200.00,600
Walmart,WM-1250,ORD-2905,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,,18,000.00,1200
Kroger,KG-1251,ORD-2906,15/2/2018,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2018,6,300.00,700
Costco,CC-1252,ORD-2907,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2908,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,7,500.00,500
Costco,CC-1252,ORD-2909,22/11/2014,PROD-110,2019-brcohn-pinot-noir-silver-label-north-coast-750ml,White,B.R. Cohn,USA,Washington,21.00,2014,12,600.00,600
Kroger,KG-1251,ORD-2910,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Oregon,62.00,,55,800.00,900
Walmart,WM-1250,ORD-2911,7/4/2016,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Oregon,62.00,2016,62,000.00,1000
Walmart,WM-1250,ORD-2912,7/7/2016,PROD- 101,ace-mango,White,Ace Cider,USA,California,12.00,2016,14,400.00,1200
Walmart,WM-1250,ORD-2913,7/6/2019,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2019,6,300.00,700
Kroger,KG-1251,ORD-2914,15/6/2019,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,California,52.00,2019,46,800.00,900
Costco,CC-1252,ORD-2915,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2916,3/1/2016,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,California,14.00,2016,7,000.00,500
Walmart,WM-1250,ORD-2917,7/1/2018,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,California,12.00,2018,10,800.00,900
Kroger,KG-1251,ORD-2918,,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,California,40.00,,36,000.00,900
Costco,CC-1252,ORD-2919,22/3/2017,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2017,6,300.00,700
Bwanaz,BN-1253,ORD-2920,3/6/2020,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2020,10,200.00,600
Walmart,WM-1250,ORD-2921,7/3/2016,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,Oregon,14.00,2016,14,000.00,1000
Kroger,KG-1251,ORD-2922,15/3/2018,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2018,6,300.00,700
Costco,CC-1252,ORD-2923,22/11/2018,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Texas,12.00,2018,7,200.00,600
Bwanaz,BN-1253,ORD-2924,3/10/2014,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Texas,12.00,2014,7,200.00,600
Walmart,WM-1250,ORD-2925,7/12/2016,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Washington,19.00,2016,20,900.00,1100
Kroger,KG-1251,ORD-2926,,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,Texas,40.00,,36,000.00,900
Costco,CC-1252,ORD-2927,22/5/2016,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Texas,19.00,2016,11,400.00,600
Bwanaz,BN-1253,ORD-2928,3/7/2020,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2020,10,200.00,600
Costco,CC-1252,ORD-2929,22/4/2017,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2017,6,300.00,700
Kroger,KG-1251,ORD-2930,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Texas,62.00,,55,800.00,900
Walmart,WM-1250,ORD-2931,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,,18,000.00,1200
Walmart,WM-1250,ORD-2932,7/4/2016,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,Oregon,14.00,2016,14,000.00,1000
Walmart,WM-1250,ORD-2933,7/5/2016,PROD-111,2019 Cabernet Sauvignon California,Red,Windsor Vineyards,USA,California,14.00,2016,11,200.00,800
Kroger,KG-1251,ORD-2934,15/7/2019,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,Oregon,52.00,2019,46,800.00,900
Costco,CC-1252,ORD-2935,22/1/2016,PROD- 101,ace-mango,White,Ace Cider,USA,California,12.00,2016,8,400.00,700
Bwanaz,BN-1253,ORD-2936,3/8/2020,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2020,10,200.00,600
Walmart,WM-1250,ORD-2937,7/8/2016,PROD-112,2019 Fusion Red Blend California,Red,Windsor Vineyards,USA,Washington,12.00,2016,14,400.00,1200
Kroger,KG-1251,ORD-2938,15/4/2018,PROD-103,ace-berry,Red,Ace Cider,USA,Oregon,9.00,2018,6,300.00,700
Costco,CC-1252,ORD-2939,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2940,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,7,500.00,500
Walmart,WM-1250,ORD-2941,7/5/2016,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,California,62.00,2016,62,000.00,1000
Kroger,KG-1251,ORD-2942,15/8/2019,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,Oregon,52.00,2019,46,800.00,900
Costco,CC-1252,ORD-2943,22/4/2015,PROD-108,2019-cabernet-sauvignon-olive-hill-estate,Sparkling,B.R. Cohn,USA,Washington,65.00,2015,39,000.00,600
Bwanaz,BN-1253,ORD-2944,3/12/2019,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2019,5,400.00,600
Walmart,WM-1250,ORD-2945,7/1/2020,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2020,18,700.00,1100
Kroger,KG-1251,ORD-2946,,PROD-109,2019-brc-sonoma-series-cabernet-sauvignon,Red,B.R. Cohn,USA,California,31.00,,24,800.00,800
Costco,CC-1252,ORD-2947,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2948,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,7,500.00,500
Costco,CC-1252,ORD-2949,22/12/2018,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Washington,12.00,2018,7,200.00,600
Kroger,KG-1251,ORD-2950,,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Texas,19.00,,17,100.00,900
Walmart,WM-1250,ORD-2951,7/2/2020,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2020,18,700.00,1100
Walmart,WM-1250,ORD-2952,7/3/2020,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2020,20,400.00,1200
Walmart,WM-1250,ORD-2953,7/2/2018,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,California,12.00,2018,10,800.00,900
Kroger,KG-1251,ORD-2954,15/3/2018,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2018,13,600.00,800
Costco,CC-1252,ORD-2955,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2956,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,7,500.00,500
Walmart,WM-1250,ORD-2957,7/10/2014,PROD-110,2019-brcohn-pinot-noir-silver-label-north-coast-750ml,White,B.R. Cohn,USA,Washington,21.00,2014,21,000.00,1000
Kroger,KG-1251,ORD-2958,,PROD-108,2019-cabernet-sauvignon-olive-hill-estate,Sparkling,B.R. Cohn,USA,California,65.00,,52,000.00,800
Costco,CC-1252,ORD-2959,22/6/2016,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,California,62.00,2016,43,400.00,700
Bwanaz,BN-1253,ORD-2960,3/1/2020,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2020,5,400.00,600
Walmart,WM-1250,ORD-2961,7/4/2020,PROD-102,Moscato,Red,Ace Cider,USA,Washington,17.00,2020,20,400.00,1200
Kroger,KG-1251,ORD-2962,15/9/2019,PROD-104,kosher-cabernet-sauvignon-napa-valley-750ml,Sparkling,B.R. Cohn,USA,California,52.00,2019,46,800.00,900
Costco,CC-1252,ORD-2963,22/1/2019,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Texas,12.00,2019,7,200.00,600
Bwanaz,BN-1253,ORD-2964,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,7,500.00,500
Walmart,WM-1250,ORD-2965,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,,18,000.00,1200
Kroger,KG-1251,ORD-2966,,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,California,40.00,,36,000.00,900
Costco,CC-1252,ORD-2967,22/11/2018,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2018,11,900.00,700
Bwanaz,BN-1253,ORD-2968,3/2/2020,PROD-103,ace-berry,Red,Ace Cider,USA,Texas,9.00,2020,5,400.00,600
Costco,CC-1252,ORD-2969,22/2/2019,PROD-113,2020 Moscato California,White,Windsor Vineyards,USA,Texas,12.00,2019,7,200.00,600
Kroger,KG-1251,ORD-2970,15/4/2018,PROD-102,Moscato,Red,Ace Cider,USA,Texas,17.00,2018,13,600.00,800
Walmart,WM-1250,ORD-2971,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,18,000.00,1200
Walmart,WM-1250,ORD-2972,7/9/2016,PROD-112,2019 Fusion Red Blend California,Red,Windsor Vineyards,USA,California,12.00,2016,14,400.00,1200
Walmart,WM-1250,ORD-2973,7/1/2017,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,California,19.00,2017,22,800.00,1200
Kroger,KG-1251,ORD-2974,,PROD-105,2019-brc-special-selection-cabernet-sauvignon-sonoma-valley,Red,B.R. Cohn,USA,Texas,40.00,,36,000.00,900
Costco,CC-1252,ORD-2975,22/6/2016,PROD-106,2019-silver-label-chardonnay-russian-river-valley,Dessert,B.R. Cohn,USA,Texas,19.00,2016,11,400.00,600
Bwanaz,BN-1253,ORD-2976,3/3/2020,PROD-103,ace-berry,Red,Ace Cider,USA,California,9.00,2020,5,400.00,600
Walmart,WM-1250,ORD-2977,7/5/2020,PROD-102,Moscato,Red,Ace Cider,USA,Oregon,17.00,2020,20,400.00,1200
Kroger,KG-1251,ORD-2978,,PROD-109,2019-brc-sonoma-series-cabernet-sauvignon,Red,B.R. Cohn,USA,Oregon,31.00,,24,800.00,800
Costco,CC-1252,ORD-2979,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2980,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,California,15.00,,7,500.00,500
Walmart,WM-1250,ORD-2981,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Washington,15.00,,18,000.00,1200
Kroger,KG-1251,ORD-2982,,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,California,62.00,,55,800.00,900
Costco,CC-1252,ORD-2983,22/12/2018,PROD-102,Moscato,Red,Ace Cider,USA,Washington,17.00,2018,11,900.00,700
Bwanaz,BN-1253,ORD-2984,3/9/2020,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2020,10,200.00,600
Walmart,WM-1250,ORD-2985,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Oregon,15.00,,18,000.00,1200
Kroger,KG-1251,ORD-2986,15/5/2018,PROD-102,Moscato,Red,Ace Cider,USA,California,17.00,2018,13,600.00,800
Costco,CC-1252,ORD-2987,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,9,000.00,600
Bwanaz,BN-1253,ORD-2988,,PROD- 114,2020 Chardonnay California, Unoaked,White,Windsor Vineyards,USA,Texas,15.00,,7,500.00,500
Costco,CC-1252,ORD-2989,22/7/2016,PROD-107,2018-zinfandel-moon-mountain,Red,B.R. Cohn,USA,Texas,62.00,2016,43,400.00,700
